127.0.0.1 - - [20/Apr/2023:20:01:24 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [20/Apr/2023:20:01:24 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [20/Apr/2023:20:01:24 +0530] "GET /Blog/BlogWrite.jsp HTTP/1.1" 200 9033
127.0.0.1 - - [20/Apr/2023:20:01:31 +0530] "GET /Blog/LoginServlet HTTP/1.1" 405 752
127.0.0.1 - - [20/Apr/2023:20:01:45 +0530] "GET /Blog/Myblogs.jsp HTTP/1.1" 200 6464
127.0.0.1 - - [20/Apr/2023:20:01:45 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [20/Apr/2023:20:01:45 +0530] "GET /Blog/images/delete.png HTTP/1.1" 304 -
127.0.0.1 - - [20/Apr/2023:20:01:45 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [20/Apr/2023:20:01:45 +0530] "GET /Blog/Myblogs.jsp HTTP/1.1" 200 6464
127.0.0.1 - - [20/Apr/2023:20:01:49 +0530] "POST /Blog/DeleteServlet HTTP/1.1" 200 -
127.0.0.1 - - [20/Apr/2023:20:02:08 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 6758
127.0.0.1 - - [20/Apr/2023:20:02:08 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [20/Apr/2023:20:02:08 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [20/Apr/2023:20:02:08 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 6757
127.0.0.1 - - [20/Apr/2023:20:05:07 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 6741
127.0.0.1 - - [20/Apr/2023:20:05:07 +0530] "GET /Blog/images/img-9.jpg HTTP/1.1" 404 781
127.0.0.1 - - [20/Apr/2023:20:05:07 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [20/Apr/2023:20:05:07 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [20/Apr/2023:20:05:08 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 6741
127.0.0.1 - - [20/Apr/2023:20:05:08 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 6741
127.0.0.1 - - [20/Apr/2023:20:05:08 +0530] "GET /Blog/images/img-9.jpg HTTP/1.1" 404 781
127.0.0.1 - - [20/Apr/2023:20:05:08 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [20/Apr/2023:20:05:08 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
127.0.0.1 - - [20/Apr/2023:20:05:08 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 6741
127.0.0.1 - - [20/Apr/2023:20:05:08 +0530] "GET /Blog/blog.jsp HTTP/1.1" 200 6741
127.0.0.1 - - [20/Apr/2023:20:05:08 +0530] "GET /Blog/js/owl.carousel.js HTTP/1.1" 404 783
127.0.0.1 - - [20/Apr/2023:20:05:08 +0530] "GET /Blog/images/img-9.jpg HTTP/1.1" 404 781
127.0.0.1 - - [20/Apr/2023:20:05:08 +0530] "GET /Blog/fonts/Poppins-Regular.ttf HTTP/1.1" 404 790
